Material;        Total Stock 
 Q8A0024638 ;-300
 Q8A0025753 ;-300
 Q8A0029507 ;-300
 Q8A0029516 ;-300
 Q8A0029533 ;-300
 Q8A0029541 ;-300
 Q8A0029549 ;-300
 Q8A0029564 ;-300
 Q8A0029571 ;-300
 Q8A0029576 ;-300
 Q8A0029713 ;-300
 HBF113BA0T ;-298
 SMS50E92GC ;-297
 SMS46AW01E ;-295
 Q8A0024562 ;-294
 WM12B211FF ;-293
 KGE49VI4A ;-288
 SMS25EI00G ;-288
 SMV41D10EU ;-287
 PBP6C6B91R ;-286
 WAK2022SEG ;-285
 KGV39VI31 ;-282
 WAT2848XZA ;-282
 SMS46JW10Q ;-280
 SMS66GI01I ;-279
 PBP0C2B80O ;-277
 SMS46JI10Q ;-277
 WAB20262UA ;-277
 KGV36XW31 ;-276
 HHF113BR0B ;-275
 KG49EVI4A ;-275
 PCQ9B5O90 ;-275
 PHD5767 ;-275
 ZVC752ZPRU ;-274
 KGD86AW304 ;-273
 KGV39VW31 ;-273
 KGN33NL20 ;-270
 Q8A0024662 ;-270
 WAB20262ME ;-270
 KGN56VW30N ;-269
 KGN86DW30N ;-269
 KGV39VL31S ;-269
 HBF114BB0R ;-266
 ZEW10A10PL ;-266
 HBF534EB0T ;-265
 WAB202S2ME ;-265
 WAB28266SN ;-265
 KDN53NL22N ;-264
 KGE49VI4AG ;-264
 CH2M50050 ;-262
 HB010FBR0T ;-261
 POP6C6B11O ;-261
 KG33VVI31G ;-260
 PBP6C5B91R ;-260
 Q8A0024516 ;-260
 ZHM0861S ;-259
 KGN36ML3P ;-258
 KDN56VI32B ;-257
 RC472304 ;-257
 KG36VVW32 ;-256
 SMS25AW05E ;-255
 SMS46KI01A ;-255
 KGV36VI32 ;-254
 WAB24211FF ;-254
 KG36VUW20 ;-253
 WAB24211FF ;-253
 KGN36NW30 ;-252
 RB492304 ;-252
 HBF113BA0Q ;-251
 WAT28450GB ;-251
 PBY6C5B80Q ;-250
 Q8A0024625 ;-250
 Q8A0024627 ;-250
 Q8A0024634 ;-250
 Q8A0027826 ;-250
 Q8A0029173 ;-250
 Q8A0029178 ;-250
 GS29VVW31N ;-248
 KGE39VL4A ;-248
 HEF173BS0 ;-246
 KG39VVL31 ;-246
 HBF534EB0Q ;-242
 KGN76AW304 ;-241
 SMS46JI01T ;-241
 BM4225EG ;-240
 KGN36NL30 ;-240
 KGN76AW40B ;-238
 SN236W02KE ;-236
 HBF534ES0R ;-235
 WAK282E25 ;-235
 HHF113BA0B ;-234
 CH5M00050 ;-233
 KDN56NI22N ;-233
 PCQ9B5O90 ;-231
 Q8A0024673 ;-231
 WAT2847XIR ;-231
 WAK24260IR ;-230
 KGN76DI30N ;-229
 SMS46GW01A ;-227
 WAB20267IN ;-225
 SMS45JI00T ;-224
 ZVC752SPRU ;-224
 OO36P2B10D ;-223
 SMS46GI01B ;-223
 POP6C2B11L ;-222
 KGN39VL45 ;-221
 SMS24AW02E ;-221
 KGV36VL32 ;-220
 SMS67NW10Q ;-220
 HEN201E2 ;-219
 KGN39VI4B ;-218
 HBJ558YW0Q ;-215
 WM14T590NL ;-215
 KGV36UL30 ;-214
 SMV50D00AU ;-214
 TFL30IR800 ;-214
 TFL30IR800 ;-214
 WM14B211FF ;-214
 WM10K200GC ;-213
 SMV50E60EU ;-212
 BM3123EA ;-208
 WM10K260TR ;-208
 WM14T570EX ;-208
 KGE362L4B ;-207
 WAT28493NL ;-206
 SMS50E32AU ;-202
 WAB2026QPL ;-202
 PBP6C6B80Q ;-201
 WAB2026QPL ;-201
 KD56NNW22N ;-200
 KGN36NL3A ;-200
 Q8A0024473 ;-200
 Q8A0024489 ;-200
 Q8A0024517 ;-200
 Q8A0024582 ;-200
 Q8A0024626 ;-200
 Q8A0024661 ;-200
 Q8A0025766 ;-200
 Q8A0027601 ;-200
 Q8A0027825 ;-200
 Q8A0029072 ;-200
 Q8A0029206 ;-200
 Q8A0029509 ;-200
 Q8A0029518 ;-200
 Q8A0029532 ;-200
 Q8A0029544 ;-200
 Q8A0029547 ;-200
 Q8A0029562 ;-200
 Q8A0029566 ;-200
 Q8A0029573 ;-200
 Q8A0029716 ;-200
 WAT24360ES ;-200
 KGD76AW304 ;-199
 Q8A0024561 ;-198
 Q8A0024573 ;-198
 HBN301E2Q ;-197
 MMR08R2 ;-197
 HBF133BR0N ;-195
 KDN46VL2E8 ;-194
 OO36P2B10L ;-194
 WAK28248 ;-194
 KDN53VL2E8 ;-193
 T30IF900SP ;-193
 3VS572BP ;-192
 BHN14090 ;-192
 CF2M50050 ;-192
 KGV36VB32S ;-192
 KGV39UL30 ;-192
 SMS25AI00G ;-192
 SMS46GI01A ;-192
 KG36EVI4A ;-191
 SN213W00DT ;-191
 HBN559E1M ;-190
 ZKZ518000 ;-190
 ZVC752ZPRU ;-190
 EO6C6PB11O ;-189
 KGV33UW30 ;-189
 WM12T48STR ;-189
 WAB16060IN ;-188
 WAK2022SME ;-188
 JH1300050 ;-187
 KG39NXI46 ;-187
 WAK2426SME ;-187
 KDN53VL20 ;-185
 KGN36NL30U ;-185
 GS33VVI31N ;-184
 HBF173BS0 ;-184
 3VS502IP ;-183
 KGV33UW30G ;-183
 KGN49XI30 ;-182
 POP6C6B11L ;-181
 SN636X00KG ;-181
 WAT28780IR ;-181
 KDD56PW304 ;-180
 MMR15A1 ;-180
 WM12T46SGC ;-180
 KGN56XL30 ;-179
 KGN86AI30L ;-179
 SMI50D05AU ;-179
 SMV46GX01G ;-179
 WAT286B8SN ;-179
 HBF534EW0R ;-178
 HXA050B50Q ;-177
 KG33VVL31 ;-177
 KG36NXW35 ;-177
 T36IR900SP ;-177
 ZVC752ZPRU ;-176
 B1ZMA12100 ;-175
 KGV39VL31 ;-175
 Q8A0027924 ;-175
 PHA005020 ;-174
 HGA24W225Q ;-173
 KGN49AI31 ;-172
 KGN76AI40B ;-172
 WAT2849MSN ;-172
 BD3056W3AN ;-171
 BD3086W3DN ;-171
 KGN56AI32N ;-171
 KGV33GW31 ;-171
 PBY6C5B60O ;-171
 SMS67NI10Q ;-171
 WAB16161IN ;-171
 HBN211S0J ;-170
 KGV58VL31S ;-170
 Q8A0024527 ;-170
 Q8A0024581 ;-170
 3VS305BP ;-169
 HGA120B20Q ;-169
 KG49NXI30 ;-169
 PBP6C6B90 ;-169
 WAB2026TPL ;-169
 HBJ538YB0R ;-168
 WAT286P9SN ;-168
 HBF113BR0T ;-167
 HBF114BR0Y ;-167
 KGW36VL304 ;-167
 SMS66GW01I ;-167
 GS24VVW31N ;-166
 WAB20261II ;-166
 HGA24W255Q ;-165
 KGV33VL31 ;-165
 BD3058W3VV ;-164
 WAT2849XTR ;-164
 KGD57PW204 ;-163
 KGE366I4P ;-162
 KG33VXW30 ;-160
 HBF010BR0Z ;-159
 KG49E2I4A ;-159
 KGD56VL30U ;-159
 SMS23DA00T ;-159
 WAT2846XKE ;-159
 HBF133BS0A ;-157
 SMI46AS01E ;-157
 ZVC752ZPRU ;-156
 KDN56PW32N ;-155
 SMS45IW01B ;-155
 KGN56HI30N ;-154
 WAT286M8SN ;-154
 KG39E6L4P ;-153
 KGV36UW30 ;-153
 WAK24268BY ;-153
 KG39VUL30 ;-152
 WAK2426SZA ;-152
 WAT2869ISN ;-152
 T24IF900SP ;-151
 WAT284M9SN ;-151
 3VS307IP ;-150
 KDN56VI33N ;-150
 KGD57PI204 ;-150
 KGN39ML3B ;-150
 PBP6C2B80O ;-150
 Q8A0024632 ;-150
 Q8A0029169 ;-150
 SMS24AW01G ;-150
 SMS25AI04E ;-150
 SMS45II01B ;-150
 SMV46KX00G ;-150
 SMV50E00GC ;-150
 WAK2426SIR ;-150
 WAK2426SZA ;-150
 WAT24461TR ;-150
 HKA090150 ;-149
 WAT284E9SN ;-148
 WAT28690BY ;-148
 ZK5Z12000 ;-148
 KGN49XI40 ;-147
 PHA009020 ;-147
 SMS25AW01J ;-147
 WAT2869MSN ;-147
 WAB24264PL ;-146
 WAB24264PL ;-146
 WAB28262NL ;-146
 3HB1000X0 ;-145
 WM14T480TR ;-145
 DWP64CC50Z ;-144
 DWP64CC50Z ;-144
 HBF153ES0 ;-144
 HBN331E1K ;-144
 HXA060F20Q ;-144
 S511A40X0G ;-144
 S511A50X0G ;-144
 SMI46AW01E ;-144
 SMS45IW01B ;-144
 SMS46KI01E ;-144
 SMV50C10GB ;-144
 SN215W02AE ;-144
 B1ZMI12100 ;-143
 KGE58BI40 ;-143
 OB36P5B80L ;-143
 DWP64CC50Z ;-142
 KG39NXW35 ;-142
 DF1033L3VV ;-141
 KG33VEW32 ;-141
 KGE36EI4P ;-140
 Q8A0024663 ;-140
 SMS45DW10Q ;-140
 WAT2849BSN ;-139
 SMS44DI00T ;-138
 HBN211S4 ;-137
 BM4192EG ;-136
 RA425910 ;-136
 SMS44DI00T ;-136
 3VF301NP ;-135
 HBF133BR0 ;-135
 KG36VUL30 ;-135
 KGN34VW35G ;-135
 KGN56VL30N ;-135
 Q8A0024672 ;-135
 KGN39VW35 ;-134
 RY492304 ;-134
 T36IF900SP ;-134
 WAB24166SN ;-134
 3TS999B ;-133
 MS36HNDL10 ;-133
 SMI46MS00T ;-133
 WAB24166SN ;-133
 HKU150050M ;-132
 KDN56VW23N ;-132
 KGN76AI304 ;-132
 OO36H2B10D ;-132
 T30IB900SP ;-132
 KAD90VB204 ;-130
 3TS864BC ;-129
 HBF134EV0R ;-129
 LC86KA670 ;-129
 HBN211E4 ;-128
 PBH6C5B90R ;-128
 WAB202S2IR ;-128
 SMI46AB01E ;-127
 WAK2022SME ;-127
 WAK2022SME ;-127
 WM10K200ME ;-127
 B1ZMA09406 ;-126
 B1ZMI09406 ;-126
 HXN391H20N ;-126
 PBH6C5B60O ;-126
 SN616X00MT ;-126
 WAK20200GC ;-126
 FREEHNDL10 ;-125
 Q8A0027922 ;-125
 Q8A0029163 ;-125
 Q8A0029164 ;-125
 Q8A0029174 ;-125
 Q8A0029175 ;-125
 Q8A0029189 ;-125
 Q8A0029208 ;-125
 SMS46GW01E ;-125
 WM12T462GC ;-125
 3TS766BE ;-123
 PBP6C5B60M ;-123
 SMS25AW04E ;-123
 3TS766BE ;-122
 SN213W00BT ;-121
 CWF11B12 ;-120
 DGS5538 ;-120
 FRTA113I ;-120
 HGL120B50Q ;-120
 KG33VVW31 ;-120
 WAT2876SPL ;-120
 SN236I00JT ;-119
 HB013FBS0T ;-118
 KG57NVW22N ;-118
 MUZ5CC1 ;-118
 PPQ9B6O90 ;-118
 SN515S00DT ;-118
 WAK24260EG ;-118
 WM10B260GC ;-118
 BD3056W3UN ;-117
 KG86NDW30N ;-117
 WAT2840SGB ;-117
 HKA090220 ;-116
 KGV33VI31 ;-116
 SMS68L28TR ;-116
 WAT2840SGB ;-116
 WFV14B21FF ;-115
 KD53NNL22N ;-114
 KG76NDI30N ;-114
 SMS68TW02B ;-114
 WAT28481IR ;-114
 HKN39A020U ;-113
 KGE39VW4A ;-113
 KGN36VL35 ;-113
 PBH6C2B90R ;-113
 RA493060 ;-113
 SMS45DI10Q ;-113
 HBF114EW0R ;-112
 KGN36XL304 ;-112
 ZVC752SPRU ;-112
 EB6C5PB80L ;-111
 KG39VVI31G ;-111
 KG49NXX4A ;-111
 WQP1200G9 ;-111
 5H10M0050 ;-110
 B1ZMA09100 ;-110
